sentence,score
I noticed you reverted a deletion on FC Bayern's wikipedia page. Do we know if Stephan Fxfcrstner has been loaned out to any club like Christian Lell went to FFC Koeln or like Mats Hummels did to Burussia Dortmund?,0.251529138
I see that you are becoming a little bit paranoid. Do i need to do a check user for you ?,-1.370233181
When you deleted <url> did you accidentally overlook the <person> template? Or do you have some reason for ignoring it?,-1.230706992
Thank you for deleting the attack page I tagged. Should <url> be blocked for creating it?,1.236620812
"Actually, the page I am looking for is more like the equivalent of '''<url>''' here at en:wiki. Do you know of such a page at nn:wiki?",0.190896199
"I'm sorry, I'm having trouble understanding your question. Could you try again?",1.099932995
"Clever work with the search and replace (I still think w:es should have recognised that ISO date format, tho'). Now, any idea where I can find a list of the DF's late, unlamented ''regentes'' to flesh out my <url> article?",0.473694546
"I might have just done a wrong revert on this art - what do you think? Small cf Singapores Changi maybe - but, ...?",0.237708489
"I see that you closed that CfD discussion as rename, but haven't actually renamed the categories. What's up with that?",-0.955650147
Why doesnt belong there??,-0.915788717
"<url> is telling me that your talk page and <url> supposedly both link there, but I can't find them for the life of me. Any ideas?",-0.012150263
"Perhaps an essay could clarify this? ""Be Assertive, not Aggressive"", or ""Act like a Professional""?",-0.273601049
That is the standard ARBMAC (Arbitration related to some Macedonian and other Balkan countries) warning. Still interested in accepting the deal?,-0.329257198
I see that there now. Do you want me to tie it all in or do you want to work on it?,0.836768344
"You know, occasionally, Momoricks will send me a note telling how one of my snarkier edit summaries made her laugh. Is that the case for the triple-misspell revert I did?",-0.123680785
I was about to participate in the Afd on Wooster Greeks. You've reverted yourself and re-closed it?,-0.814993745
Sorry??? Which comment are you referring to?,-0.21843546
"Nijdam, you quite rightly say, 'Every event that has occurred is a condition'. But many events have occurred, a door has been opened, a goat has been revealed, the host has spoken several words, how do you decide which of these events to condition on?",0.078373389
Basta colla tua grecofilia tendenzionista! Ai capito bene?,-0.210349009
"Thanks for the heads-up on that; I don't really have anything to add beyond what you'd said. By the way, I noticed you said you weren't an admin: would you like to be?",1.108480488
"I hope I don't upset anyone by jumping in univited, but why are self-created images any different than those found elsewhere so long as they comply with all of the non-free content criteria? Is this caveat hiding in a talk page archive somewhere?",0.673691947
"I'm sorry, but I don't see what you're talking about. Could you be more specific?",0.803294133
"Cool. ''(sound of ruffling wiki-pages back and forth)'' ""Looking forward"" on which talk page?",-0.26678422
"I might be able to lend a hand, though it's not the most interesting article to me just as a matter of personal taste so I don't want to invest tons of time. What specifically do you want help with?",-0.178404227
"Why was <url> deleted when it was simply a crop of <url> which is public domain? I'm pretty sure I wrote that on the description page, but if not, can it be restored?",-0.44412657
"Hi there. On a tangential note, would you happen to be <person>?",0.643524708
"OK, then, define ""bias"", propose a way to quantify it, and if it's accepted by consensus, we'll apply it to ''all'' the admins on that page. Or, perhaps as a starting point, how about presenting some evidence?",-1.151564215
"Certainly the work is out of copyright, and some of the neighboring volumes in the series are visible on archive.org (and I don't have trouble with other books on google generally). I wonder if you know of any way, or could suggest any way, that I could get to see the downloaded pdf of Newcomb vol.6?",0.772032345
"The answer is ""one citation per city"". Information must always be verifiable; without verifiable sources for say, Unna, how exactly are we to tell that the article is accurate?",-0.746584008
"Hi there, it looks like the moving editor has added a bunch of references to the talk page supporting the fact Toto is no longer formally referred to as Moorland Totilas. Do you think if we added one or more of the refs he's added on the talk page to the article we could move it back?",0.922497042
"OK, I'll bite. How is ''Matt ""Dirty"" Sanchez'' to be construed as anything other than a personal attack?",-1.024536684
Da ti mene nisi sa nekim pobrkao? Kakve ja veze imam sa tim Faust Vranu010diu0107em?,-0.221106752
"Also perhaps we should set up a subpage for these discussions, so we'll have the thread completely on one page? What do you think?",0.675838629
"At the top of the page it characterizes a guideline as ''a generally accepted standard that editors should follow'' along with a passing reference to <url>. So, I might ask, how would using 4 tildes prevent you from improving or maintaining Wikipedia?",-0.473858289
We've got few like this on the horizon and I'm not sure how to approach it. Do we default keep them?,0.424504037
"I noticed that you changed the formatting for <url> slightly, putting the links to 18-crown-6 and en to the sentence after the chemical structure rather than in the chemical structure itself. Why is that?",-0.246945993
It's double the disambiguation... Might be an overkill. What do you say?,0.511333785
"Holy steaming <url>. I presume you know about the <url>, yes?",-1.527072693
Are you talking about that I noticed that <url> wasn't in <url> even though <person> was changed to use <person> on 6 October 2010? And then did some script-assisted editing to remove <url> from a bunch of pages that had both the category and <person>?,-0.145258379
"Good! By the way, what do you think of merging the recurring animals in <url> to <url> and then getting rid of the rest?",0.718261951
"<url> is having <url> spelling ""<url>"". Perhaps you could help?",0.568078464
"Hi, I see that you agree that User:Dr Joe's edits are suspicious... his latest edit totally clinches it though, as he went to the article <url> and reverted my changes on it, exactly like Beckjord did one or twice in the past out of nowhere, and then made edit comments on his talk page and talk:Bigfoot about how ""my"" mythology article sucks and needs to be opposed. I was wondering if you could go undo his edit for me there?",0.012745836
"As I wrote above, at first I thought lets keep it, but after I heard some arguments, and when I made analysis of my own, I got to my conclusion. What's yours?",0.580143976
"I see you've done a lot of work on hospital-related articles, especially in Oregon. Perhaps you'd like to join us in improving the articles for hospitals in Oregon?",1.392818356
I don't remember where but I could've sworn I'd seen it on Yahoo that <url> and <url> did performances that were about the 2009 VMA incident? I found the performance for the 2010 VMA of <url> but didn't Kanye do one that had to do with Taylor?,-0.124035789
"Re: <url> and <url>, if you think they are better off as redirects to the suburb/town rather than substubs on the lakes with a <nowiki><person></nowiki> tagline, you only need to overwrite the article with a redirect (or revert to a previous version that was a redirect), leaving the substub in the article history. How come you speedied them before redirecting?",-1.189138415
"Hi. Would it be OK to move the timeline to a template, so that all the Mars-related geology pages can point to the same timeline, making updates easier?",0.695835103
"If you're not using your user page, you should try redirecting it to your talk. Or is this a statement on the futility of userpages in general?",-0.296535488
"Ok, you are now an admin on the Wiktionary and Wikiquote, but I can not make you a sysop on a wiki that doesn't exist, so you're not one at Wikibooks yet. Are you sure it is sensible to create three new projects at once in this language?",0.173702501
Hi. Would you be interested in reviewing <url> for its GA nomination?,0.671110129
"If you have something to say for keeping that picture, say it here and I'll copy it over to the FFD page. But, frankly, if you can't even be bothered to check out the <url> rules to find out about why the Zguri image isn't acceptable, how do you expect to be able to make any relevant argument about the other one?",-1.327630138
"Good one for the beginning. Is it possible to paint, say, red color an area between the null line and the curve below it, and blue (or green) an area between the null line and the curve above it?",0.623841171
"Are you both ""Dribblingscribe"" and ""Indiestu"" ? Do both those accounts belong to the same person?",-0.638580688
Thanks for striking out the comment. Any chance of a support/oppose vote?,0.845322092
"Just looking at that photo and the one in the article makes me feel cold :). I just finished this article <url> a week or so ago, and wonder if those Forward Operating Locations are tied into intercepts from those NORAD radar sites ?",0.551668436
to the Citations missing template. What's the deal?,-1.572304867
"Yes, I apologize, my friend (I guess I have some kind of a phobia that you will forget about my posts :) ) I will wait as long as you want me to. Could you read Mir Harven's posts on talk page?",1.222241053
"I created the redirect page ""SEAC (computer)"" and I think the article chould go there, with redirects from the other two names. Since you are an administrator, can you do that?",0.112828391
Sure thing. Did you see my note higher up on the page?,0.246747526
I wouldn't know where to put it. I know Record Charts is for charts etc and the certifications but where would I put a discography question?,0.328023703
I saw you changing a block's duration to 99 years. Isn't that as good as indefinite?,-0.40643899
Let's pretend that we have reached an impasse and then we can stop talking to each other. Deal?,-0.75251222
I am trying to figure out the exact definition of <url> however do not have access to Andrews. Could you help?,0.911434971
"I just occurred to me yesterday (while playing with the Bushnell 7x50 Marine binocs I got for my birthday), that the <url> section on rangefinding reticles might be worth its own article, if for no other reason than that rangefinding reticles are used on other optics, such as said binoculars (which have a compass and 5 milliradian graduated reticle) and some other specialized items, such as golf rangefinding monoculars, which use the standardized height of the flag as the known size item. So what do you think--is there enough content in the rangefinding section to make a standalone article, and do I provide enough argument to justify pulling it out, and adding links from <url> and <url>?",-0.277020204
"Sorry, I've moved a number of articles and thought I did it correctly. How is moving done properly without losing the edit history?",0.631174156
"Also, I was looking at the edit history for <url>, as I thought I had created the page (honestly I cannot remember), but the history prior to your move of the list to <url> is missing. Do you know what happened to it?",0.356141314
"I plan on getting the page up at some point this weekend, no latter than Monday though for obvious reasons. Why do you ask?",0.123574794
"Thanks, Wareh. Have to ask, Davey: why is the Circus Maximus article on your page called <url>?",0.678451189
"Except for the one about the Chevrolet Monza bit at the middle which came from the Prototype book, was in fact come from the Brumos website, but the last time I read that was back in February 2001. Also is with the referencing, the page is now a total mess, is there a way that could be sorted out, I would be very thankful if you could help?",1.261254601
Now why would you do that when he specifically stated that he didn't want to discuss the matter for 48 hours and I specifically stated that people should come here? Did you not read his request?,-1.475357648
"I have added former cat members to <url>, but I'm not sure whether <url>, <url> and <url> should go there. BTW, maybe <url> and <url> would be better placed in <url>, as ""after Tolkien""?",0.332265251
"How about this for a novel solution? The next time a banned editor posts something to your page, why not delete it yourself with an edit summary of ""Sorry, I'm topic-banned from discussing this""?",-1.23065377
The links that I added were detailed images of all the aircraft that was listed in each entry. How does that make it spam?,-0.348140577
"'You wrote:'' I'm not trying to be obtuse, but is what you're saying in essence that if we cannot tell whether an award is utterly trivial then that uncertainty becomes sufficient assertion of notability to not apply A7? So if an assumption needs to be made, or discretion employed, A7 doesn't apply because the assertion of notability has been made?",-1.11945642
"Comply with what your talk page says, get off and study!!!! Have you willpower?",-1.612908619
"Hello Jennica, I noticed you revert vandalsm occasionally. Would you like me to grant your account <url> to help you revert vandalism more easily?",0.967904235
When I look at the stats on the <url> wiki page I only see 55 Major appearances from 1972 onwards. I'm going by the assumption that page is correct?,-0.16123719
"both just link to disambiguation pages, where the right people don't seem to be represented. Also, my information is that <url> took the post in 1889, while you have 1899. What was your source?",-0.374546434
You use the abbreviation WPMOS on your request on the Graphic Map Lab <url>. What does it mean?,-0.098999818
"I don't follow you I was not aware that my edits were vandalism, I was editing according to what had (it appeared to me) been agreed on the talk page, but additional material had been inserted (that had not been agreed upon) that esentialy said the same thing (and was not supported by the sources) that had caused the origioanl disagrement. I think I may have mis-understood you point, are you saying that I can only revert three times if its vandalism, or that my edits were vandalims?",0.531621381
"ED... They have drugs to fix that now, don't they?",-0.696899217
I've replied to most of the concerns. Could you please look over them?,0.643895579
"Hmm, now I feel ignorant. Are you aware of a good source we could stick in the article to back this up?",0.408062281
Keeping a list of everything bad user:XXX did in your user space is neither constructive nor appropriate. Perhaps we should both focus on the many positive things to do rather than the very occasional misbehavior?,-0.095445996
I give a glimpse there now and then. What is up?,-0.5144556
Nice. What SVG editor did you use?,1.071064341
"Yes, I agree. Would you please make the appropriate change?",0.964351023
Do we have an automated-edit-using editor who's decided to just stick these in for completeness' sake? Did I miss all this?,-1.040843282
"I'm thinking of removing myself as an involved party from the arbitration case, because I'm apparently really not on board with what Nightscream is trying to accomplish. Do you have any good reasons for me to remain?",0.020960308
You appear to have created a duplicate of <person> at <person>. Is there any particular reason for this?,-0.146540034
"I do not, nor have I ever used other accounts on Wikipedia. Didn't you ask me this before?",-1.090815231
Hm. Are you asking to be banned?,-1.754243795
It seems <url> has tagged the following baiting articles <url> <url> <url> and <url> with a delete tag out of spite. It there a way to remedy this type of poor behaviour ?,-0.436064673
"Hi, that ""Multics Virtual Memory: Concepts and Design"" paper is already in the list of Multics papers (in the ""Further Reading - Technical Details) - it even has the same URL! It only lists one source, though - perhaps the second could be added as an ""(also here)"" link?",0.287899099
"""Overmans believes that the figure of 473,000 deaths listed in the 1965 German Church Service study is incomplete and not a definitive accounting of losses in the Expulsions"" ? What is ""Expulsions"" here?",-0.019697441
"Thanks for offer of help on IRC - terminology completely baffling to me (not helped by freenode instructions written as if translated through several languages into final english) - just which channel are admins supposed to log into, and how does one register when it seems by invitation only. Finally what on earth is a cloak ?",1.039268612
"I cannot open the BBC link, it was <url>. What if '''E'''arth and '''M'''oon, if upper case first letter, should the word ""the"" be added?",-0.044747177
"Yeah, but playtime is over. Find some articles to edit, yes?",-1.705078542
O RLY? And what does it do there?,-1.556687285
"Let me know what you'd like me to do. Are you/anyone thinking of copying over the temporary copy wholesale or in parts; destroying the edit history of either, both or neither..?",-0.47858112
I hope Ed's doesn't look like mine. Wait--what is this navbar we're talking about?,-0.472573165
"Hi JoJan. I see that the template which listed the failed FA attempt on <url> was deleted from the talk page, and I wanted to ask if that is considered OK or not?",0.559542402
"Given what I see there, Finlay, I would argue that Marnanel's work is derivative, and that nohat's only request for derivative works is that they be released under the GFDL, which it's my understanding that Marnanel's work is. Is there a section I'm misreading?",0.250870828
"Martin, sorry to disturb you, but you said that Kelson is making the new ZIM file, where is the location of that file? Does it also reside at <url>?",1.347586878
Please answer the question fully. Which other accounts have you edited as?,-0.428016841
"Thanks for doing the tidy up on the SSC page. One question, what was the reason for removing the item about the Simon PG ownership of the buildings, as well as dropping the link to the company's WP entry?",0.446737061
"Yeah, thank you so much. Can anyone do that or only admins?",1.472376987
"I dunno, but this one reeks of that banned user <url> - same mark-as-minor edits, same targets. Care for a look at this?",-0.248019196
"My graphics editing skills aren't up to the creation of a map such as this from scratch, but I could probably do an adequate job of removing the red and orange lines and the related entries in the map legend. Would it be useful for me to take a whack at that?",0.910166209
"BTW, as a complete aside, I have wondered for years why Enver Bey/Pasha is at <url>. What do you think?",0.030147945
I haven't been lately as I've been pretty busy in real life. Is there something you'd like me to check out?,0.02616451
What user list? The one I linked to?,-0.160806463
"Hi, Scottalter. Did you read <url> about it?",-0.159168144
Your contributions show no edits to any RfC's. Could you provide a link?,0.170327971
"Howdy Mattisse. Haven't I seen you on hockey articles, years ago?",0.809778086
"Hi there, I've raised the possibility of unprotecting the tamazepam page <url>. What are your thoughts?",1.032675861
"Maybe, but we're both involved now. Do you think it's worth going to ANI over?",-0.258791728
"thanks for working on that. but... what is the difference between what you added to the intro, and what was already written below?",0.69850113
"Don't worry, I'm not going to give the new right out to people who'll abuse it. :) Where's the new policy page?",0.118998194
"I've removed my remark. But if somebody puts words in another's mouth, and that second person states that is not what he meant, and the first person responds that no, that ''is'' what the second person meant, well, wouldn't you say that's a little weird?",-0.926432609
Great job. Any chance of a full date of death for him?,0.510610951
hi Mustafaa I have some historical pictures and some sentences written on them which seems to be arabic. Can you tell me if it is arabic or not if i send you a copy?,0.533368691
I noticed your nice improvements to <url>. Are you thinking of merging/redirecting <url> to that article?,0.776670541
Replace the 100px with the size you're looking for. Did this help?,0.714075632
"You make it very hard to believe that you're acting in good faith when you rewrite the <url> article to remove all references to ""liberal,"" but keep the phrase ""conservative Independence Institute."" I see POV-pushing when that happens. If you're so concerned about adjectives, why not edit the articles about AEI or Heritage or Americans for Tax Reform?",-2.056026233
"On another subject, have you finished the books I suggested? Want more?",0.747939552
I still can't remember how I got into this. I remember there was an argument on the GameCube page but then there was nothing for a week or two....It hasn't been that long has it?,0.320214917
"I started editing the article <url>, which was a real mess, and added some cited content under the math section. However, there is all this content under the statistics section that is uncited, and wanted to know if someone would help me find sources for this information, or challenge and remove it?",0.338906778
I tried to fix your problem with <url>. Is that what you were looking for?,0.263246516
"That line in <url>: ''<url>, the slashed zero character'', shouldn't it be ''<url> or slashed zero, the slashed zero character''? How's <url> doing?",-0.016020081
I'm afraid that images are not an area I work in. What would be the rationale for deleting these?,-0.046776569
"Did you mean to also remove the Breitbart reference from the ""Incidents"" section? Have I missed a meeting?",-0.26427254
"Lionel, tell me the truth. How long have you known BelloMello was wMo?",-0.612593699
I have just reported a high level of Vandalism at the page <url>. Is it possible to impose a temporary protection to the page?,0.340989908
I noticed a recent edit and upload of yours and have reverted your edit and started a discussion thread <url>. Would you be able to comment there?,0.241740013
"Hi, would you have any objection to renaming the sub-categories of <url> to look more like the articles which describe them - i.e. <url> -> <url> and so on?",0.873212475
"Not that this really needs much more discussion but how did the object described as ""creepy"" change from the email in your first sentence to the administrator in the second? Especially when the original edit stated that the email was creepy, not the administrator?",-1.217162035
The Olbermann thing is being discussed on the <url> talk page. Do you have anything to add?,-0.104235378
"I noticed that you twice placed a request for citation on the <url> page,<url> <url>, but it was silently removed by <url> <url>. I've removed the sentence altogether; do you think any other action should be taken at this point?",0.176249137
Still at 1024 x 768 here '''Zangar''' and still looks fine to me. What about putting one of the images into the infobox using the piped 'static image=' parameter?,0.322311374
"I have also put speedy delete tags on <url> and <url>. Was there any particular reason to move your user/user talk pages to that name, and back again?",-0.72767185
Please do not make false accusations. Where did he add a cn tag to a comment by a non-believer?,-0.306320675
"So, basically, you're just violating <url> and <url>. Why?",-1.707454536
This means that the pic you supplied is not really appropriate any more. Are you able to provide a new one?,-0.149040322
"I have left the Kuznetsov as <url>, because that is the name of the ship, translated, and Admiral of the Fleet is a rank. I wouldn't like being labelled a Captain if I were an Admiral, would you?",-0.228967677
"OK. In the future, can you kindly post a note on your userpage, talkpage, or somewhere else so I know that the bot isn't broken?",-0.151146027
My contribution tried to show the impression to others I'am only trying to improve spelling. What's the difference between personel and persona?,0.32618947
"You've seen the RR crossing sign, such as Image:Highway-Rail_Grade_Crossing_Advance_Warning_sign.svg. How about this idea for a ""3RR crossing"" sign?",-0.381100541
Hello. Can you help me create a map of Isabela which reflects the 3D map?,0.561819184
"What's the origin of the data graphed in <url>? The image is used in <url>, which has an in-text cite for solubility characteristics, but could you clarify the source for the graph itself?",0.526306597
Well... actually it is <nowiki><!--commented--></nowiki>. Could it be visible?,0.336863332
I know there is some discussion at <url> regarding primary topics so I'm unsure if performing this edit would be an ok move. Thoughts?,0.652200271
The large coat of arms is still be commented on. Maybe you can lend a word or two?,0.460458168
"...come to think of it, this is kind of a really nitpicky question, but <url> ''does'' count as current head of the ""main"" Matsudaira family, right? Since it only became renamed and all but it's still the continuation of the same family?",-0.160816752
The profile seems good as it is. Why don't we bring this back up after the Hibiki 2-parter?,0.546410062
I suggest we start with the History section. What do you think?,0.222802064
"Do you by any chance happen to have the old legs (such as in the figures shown <url>) that go with the old armless torso? If so, would it be possible for you could take a picture of a minifig with that, the old torso and preferably a non-printed head?",0.255836555
"And, in case I forget, it is what happens when I sign with four tildes. See?",-0.272801712
Out of curiosity what are you testing? How are things going?,0.854484887
"Your poorly written, bizarre comment makes no sense, since all of my edits in the Al Franken article conform to wikipedia's NPOV policy. What are you talking about?",-2.298733064
"Thanks. Can you leave a comment at <url>, saying you are the creator?",0.735294285
'The sources are already there!'' Have you even looked at it?,-2.071900284
I'm working on improving the references on Kulwicki's article to get more reliable ones. I've also worked on improving <url>'s article toward GA. Do you know much about drag racing?,0.657083016
"Apologies again, though. If I tell a fart joke, will you forgive me?",0.126965237
"True, and you're right. But it does define it, so doesn't that mean it shouldn't have a comma?",-0.058312135
"I have closed <url> as keep. Do you see any objection to my suggestion of a change of name to ""List of Kong Kong Category III films""?",0.293009782
"Hi, do you mind if I move your hook to go live on 26/27th? The GLAM WIKI conference could do with being highlighed by a non US/UK hook?",0.613413613
"I'm trying to keep Minority Report as a GA, and the <url> requested for copyediting - but didn't give examples to cleanup. Can you give me some input on what to rewrite?",0.685159148
Could you be more specific. Are there specific points in the article that you believe are repetitive?,0.840656322
<url>. Or is it just me?,-0.684529417
Do You have the list of other flag bearers from other countries? And do you have a video link of the parade of nations?,0.3244812
"Hello, I noticed you recently did a lot of work on the ''<url>'' page. I was wondering if you know of the origin of the word ""Nassarius"" - its etymology/ what is it named after?",1.114793561
"I'm usually polite, but this one seemed to need a slap across the face. It's ... words escape me .. mindboggling... jaw-dropping ... ?",-1.244579331
"I think I lot of the things on the Methuselah page are very interesting, but perhaps should be transferred to the Biblical Generations article, if they touch on more than just Methuselah. Would you agree?",0.768313564
"Ok! First things first, is there anything in particular you would like me to help you out with?",0.978404954
"The proper title of this image should be Eszopiclone.svg, since it depicts the S enantiomer. Could you change the title so I can upload an image of the racemic compound instead?",0.56446048
Another thing: <url> has created <url>. What do you think about it?,0.164173106
"I believe it was I who moved it, based on what appeared to be consensus to use the hyphen in that context. Where is this guideline of which you speak that suggests otherwise?",-0.109215996
"Sure thing, and thank you for noticing! Is the colour better now?",1.6553323
"Problem is how do you recognise the categories, as there are thousands of them. I have already made a program that scans the database, and can locate the unstubbed articles, so finding the untagged stubs is ok, and AWB automatically adds the stub tag if the article is short, I just can't think how you could program it to automatically guess the type of stub, any ideas?",0.599021681
172 has refused to materially defend his take on NOR in terms of any criteria in <url> even abrasively deleting a query from a newbie on the subject in his talk page. Is it possible to get some official clarification on the NOR policy before this becomes a precedent?,-0.179494423
So an occulation chord passing through the equator of the asteroid is equal to the diameter of the asteroid? Does it matter that the Earth is only passing through the penumbra?,-0.183116236
"Let me ask you this. Assuming we take it that the player might have chosen any door to start with and the host may have opened any unchosen goat-hiding door, why do you not insist that the starting sample space must include all the possible door combinations?",-1.249050553
Please don't talk like a robot. What harm did it do?,-1.255446025
This is now ready for transfer. I will leave it up to you if that is OK?,1.09505829
"You may not remember doing this but, you erased a page entitled, Earl Newton. Why did you do it?",-0.606565687
"Perhaps ''polemic'' was an unwise choice of words on my part: I meant it in the very narrow sense of an opposing theologian, but you are right, the more usual sense is of a confrontational piece of writing. I'll substitute ''tract''...?",0.445176693
You're joking? <person> and <person> have no word play in spite of the same kanji?,-1.478868707
"Hi, the only reason I called it <url> is because there are similarly named streets in <url> and <url>, and the latter one has some notoreity. Should we wait until articles are written about the streets in those other cities before identifying this one as belonging to <url>?",0.070855005
it is up on their website. Do you know how to put it on the south wales scorpions infobox thing on the wikipedia page?,-0.134537654
Sheesh. What else did I miss in May and June?,-0.251294123
"This is a really sore subject, because most of parents of kids with learning difficulties dont agree with the term ""retardation"" - it is unscientific and also quite abusive. Could you please delete the category or rename it ""learning disability organisations ?",0.400979425
"Hi, not sure exactly what you are asking, the three web refs you list (IUCN, Birdlife, Audubon) all work fine for me, possible a server might have been down temporally, since these rarely give trouble otherwise? Or have I misunderstood your question?",0.475404745
"I have the picture (3D) model of a chemical compound made with Accelrys, but I don't have Photoshop. What can I do?",0.237688724
Great. Any reason why SCIRS is still an essay and not a content guideline?,-0.470413897
"The PressTV references in Wikipedia's ""Turkey-PKK Conflict"" article are not the same, but the titles are wrong. If you have time, can you correct the titles?",0.697901912
"I don't think so, Giano. Can we just once attempt to let this pass by without calling for the heads of people?",-1.483220811
"You may want to take a look at <url>. Can you be specific on what ""spamming"" is in this context?",0.011034769
"... then you have to at least meet me half-way. For instance, ""''<url>'' described the episode as displaying ""an exhilarating flair for rapid change of comic gear"" and made commented positively on the scene."" Can you see the problem here?",-1.415059814
"Now that I thought we had this figured out as clean and simple, but Google has expanded their street view to the south end of Smith-Dorrien Trail which shows a sign naming it Trail<url> rather than Spray Lakes Road. What do we do if there is a contradiction between a reliable map (the Canmore map) and actual signage?",-0.109116106
"The reason given on the <nowiki><person></nowiki> tag (''""Non-notable book promo""'') seems to have nothing at all to do with the article. Is this on the correct article?",-0.568511863
"Converting <url> to a redirect without preserving either the information or sources, & without discussion was ill-advised. A bit more care in future?",-1.574061711
Why are you putting <nowiki><person></nowiki> on several pages related with Yu-musicians? IMO this is a pretty <strike>stup</strike> meaningless stub to have; why not <nowiki><person></nowiki> instead?,-1.264187081
"Testing, testing, 1,2, 3, are you still alive? Where are you?",-0.460116813
It is being suggested on <url> that the recent round of editing of <url> in which you were involved amounted to no more than sanitisation. Perhaps you could advise?,0.113526245
Really? When/where did that happen?,-0.684826085
"Given the comments <url> (saying that Ganglia also should be added to the bypass list), and the fact that there are about 10 WMF projects, wouldn't it be more effective if there was only a ""whitelist"" for adding the WMF projects (which all have a secure version), such as Wikipedia, Wikiversity, Wikinews, Wiktionary, etc? Or would there be some drawbacks in doing this?",-0.210891798
That link just takes me to the arbcom main page. Are you intending to link me to something else?,0.393177011
"Looking at my various edit summaries to <url>, I don't see any where I mentioned anything about another example. Can you say which edit you have in mind?",0.703225849
Hope you get the concerns worked out. Question: Why is the bot using <nowiki><sup>2</sup></nowiki> instead of xb2 ?,0.360812369
Good luck with the remaining time for your nomination. BTW: under what section on <url> do you think it should appear?,1.292598889
Hi Dan. Is the page <url> still needed/useful?,0.080770857
"Do you disagree with this reasoning?. If so, could you explain why?",0.671110129
"Hi David, you're good with images. Anything you can do to clean up <url> so it's useful on ITN?",1.81664532
Are you saying that Racepacket attempted to contact Laura's employer? When and where did this happen?,-0.542153208
"Hey, did you ever read over the material I laid out for you - content as well as ideas for organization of an article? Any feedback?",-0.096455957
I refer you to my last answer about independent sources. Do you have press coverage?,-0.521232645
Could you please block me indefinitely. If you can't then what do I need to do to get blocked indefinitely?,-0.61230134
Thankyou for the message. Isn't it academic convention to specify which edition one has cited and give the page numbers therefrom?,0.324833784
"My bot finally got past the connection errors I've been getting and spit out the largest 4,000 articles in sorted order for this. Would you like to take a short break while I replace the first page with them and manually mark all of the already-checked ones as done?",0.458414152
"Fair enough, although the point that the Department serves a sizable population - since some cities may only have inhabitants in the hundreds - should be noted somewhere in the article. Perhaps when someone expands it, sometime in the future?",-0.103289552
Wow that's old! What do you think of <url>?,-0.662765815
"p.s. I'd be right that you're a supporter of corporal punishment, I presume?",-1.361666345
"I'm pretty sure I didn't violate 3RR unless there's another revert I'm missing. Does replacing the ""/"" in <tt>&lt;ref name=missingref /></tt> when replacing a deleted reference count as a revert?",0.454985756
I agree. How about using Mizbot?,0.475220609
I noticed you've put in quite a few posts in the gun politics talk pages. I'm just wondering do you have an interest in firearms or just the politics behind them and their use?,-0.125817594
Thanks. Is <url> BOTijo whilst logged out?,0.215781372
How do you fix all those edits at once? Do you have to be an admin to do so?,-0.082313646
"I began to make an article for <url> but found that one already existed but was deleted. After reading the deletion log and seeing that it was speedy deleted for a7, I think I can write an article that establishes notability, but am I required to get administration approval before recreating a deleted article or can I just create it on my own?",0.478769023
"Oh, in that case you want <url>. So Vigen Geodakyan is your father?",0.078251224
