Utterance,politeness,language,__index_level_0__,split
"I am trying to make edits to Erno Rubik's Wikipedia page. In one of my edit comments, I erroneously stated that I was a representative of Erno Rubik. I should have been more precise as to my association with Mr. Rubik.",0.6666666666666665,english,24,train
"To quote the article: Clearing levels with Luigi unlocks a Ghost Luigi representing a developer speed run that players can race against for completion time I literally just finished the game, so this is still very fresh in my mind, and the Luigi ghosts were mostly (if not all) about revealing secrets, like a pipe under a snowy tree or a hidden 1-Up.",0.33333333333333304,english,25,train
It is all too common a misconception that house music started in Chicago in the early 80s. In fact house music started in NYC in the mid to late 1970s. Frankie Knuckles worked sound and lights with Larry Levan in the Continental Baths and there he learned to DJ.,-0.33333333333333326,english,26,train
"I recently reverted an edit that claimed the July 3, 1969 N1 explosion as the biggest explosion in the history of rocketry. I'm sure it was up there, but we need concrete evidence if we want to make claims like that. There are certainly other incidents which rival that occurence, such as the Nedelin catastrophe, when an R-16 blew up on the pad and killed >100 ppl.",-0.33333333333333326,english,27,train
"Firstly, I'd like to apologise to those editors who may feel frustrated that I have been slow in using these talk pages when editing this page. In my defence, I have attempted significantly and/or relevantly different edits of this page and the last two were very minor (in terms of the number of words edited) indeed. But I should have followed the procedures more quickly – apologies.",2.0,english,28,train
"Just for those who are wondering, the reason I haven't followed up on producing a set of images is because I discovered that the numerical convolution method I'm using isn't actually converging to a Gaussian. The images above look like Gaussians, but in fact are flatter and have wider tails than a Gaussian actually has.",0.33333333333333304,english,29,train
"Brandeis University was the home of Arnold S. Shapiro when he died. It is only because of the work of David Buchsbaum that we know he died from leukemia. As it stands, we do not know the place or date of Shapiro’s birth.",0.0,english,30,train
"Thank you for seeking a compromise. I have ceded the first two points and did not make any further edits regarding them; however, I did restore the date of announcement of the first case and slightly reworked the sentence as those do not conflict with our discussion.",1.6666666666666665,english,31,train
"I have no opinion on merging though I think that TheMightyQuill makes some good points. I also think that having shorter articles which are linked to each other is better than a single long-ish article. Finally, how would people come to the topic?",0.33333333333333304,english,32,train
"On Nirmal Purja's page it says On May 18, 2014 he made his first eight-thousander by conquering the Dhaulagiri (8167 meters). Messner repeated Nanga Parbat in 1978 after climbing it in 1970 as his first 8000er, so should we start Messner's time taken from Manaslu (1972, his second 8000er)?",1.0,english,33,train
"The Muslim innovation section incorrectly represents Arabic innovations as being linked to religion rather than culture. While the section mentions Muslims and Islam again and again, the actual accomplishments listed are those of Arabic scientists and engineers. Arabs are generally Muslim, but there are many Muslims who are not Arabs.",0.0,english,34,train
"I am interested to know what people think about the idea of Anti-Inflammatory foods. It seems to be a topic that is coming up more and more (see: Hello Anti-inflammatory foods, List of Anti-inflammatory foods).",0.0,english,35,train
"It's not a trick and even without Lippovans, we still have Ruthenian(no, not all Ruthenians are automantically Russyns), Hutsul, Ukranian and Boyko and Lemko(although the last two I am not sure if they are really living in Bukovina or not). In any case, under Lemko it says that they are decendents of Romanians and I know many Romanians consider Hutsuls to be Romanians too.",-0.33333333333333326,english,36,train
"The table is not unsourced - the sources are listed in note g (Neue Deutsche Biographie, and a genealogist with some expertise and publications in genealogical journals). I was just too lazy to ref a dozen nodes separately, but all current nodes are verifiable in these sources.",-0.33333333333333326,english,37,train
"At article Shōchū an editor has been replacing a sourced reference to China with an unsourced reference to Persia. He recently sourced it to a citation of Persia at this article, which is... unsourced. Anyone care to source it, then maybe both problems could be solved?",-0.33333333333333326,english,38,train
I agree that a merge is a possibility. But the first sections of the article are written for readers of very low mathematical level (high school or lower). This generalization is not at all of the same level (recent research article).,-0.6666666666666667,english,39,train
"In regards to this, many people have the confusion that the MY-EN Version is the International Version. They are not the same, an International version was still cited to be due by their developer website at an unknown time by an unknown company specifically for North America and Europe in English.",0.33333333333333304,english,40,train
"You're kidding, right? Vandalism is constantly made on many articles. Saying Please and blocking an IP won't stop them.",-2.0,english,41,train
"Hello fellow Wikipedians, I have just modified on Shinji Mikami. Please take a moment to review my edit. If you have any questions, or need the bot to ignore the links, or the page altogether, please visit this simple FaQ for additional information.",0.33333333333333304,english,42,train
"The differences between what people tend to call popular and classical music has boggled me for some time. Thus, I postulate certain simple criteria with which to easily identify if the music is either of the two.",0.0,english,43,train
"Perhaps the 'Song list' makes the plot' section unnecessary and we should cut the latter? What date is the D'Oyly Carte piece? If you are concerned about copyright, perhaps it would be best to paraphrase and then make a formal reference to it as a source?",0.0,english,44,train
"Adult contemporary (AC) is a radio format targeting an adult audience rather than teenagers. AC is not a musical genre by itself; instead the format can contain songs of various genres including contemporary R&B, vocal pop, folk rock, soft rock, pop rock and straight pop music.",0.6666666666666665,english,45,train
"Comment Whether real or not, mythology is a widely accepted part of history, and a component of various Empires and rulership (see Rome, Egypt, etc); one could arguably dismiss all religious history on Wikipedia if we become so contentious about it. That being said, I recall watching a number of documentaries and clips mentioning the same story, so it can't seem to be fabricated/vandalism.",0.33333333333333304,english,46,train
"Charles I of Naples is not his name. It just a form of disambiguation. His names was Charles, his number was I and his kingdom was (after 1282) Naples.",0.0,english,47,train
"In the case of dual citizens, editors decide which ones are relevant to the lead. All edits are subject to consensus, and the area of nationality is no exception.",0.0,english,48,train
"It's only one fairly short section in a very long article which already includes quite a lot of minority viewpoints. And it's sourced, informative and quite interesting, even if it concerns positions taken in the past rather than the present. I would leave it or shorten it.",-0.33333333333333326,english,49,train
"While the hazards of ionizing radiation are now well controlled in most medical contexts, an MRI may still be seen as a better choice than a CT scan. That is a very reductionist view and depends very much on the setting.",0.6666666666666665,english,50,train
"Remove - the spurious and unproven references to contact from Matt Lucas on this matter are irrelevant. The page is about the subject, and not about all of the tittle tattle that can be found in the public domain. The present wording leaves the reader with an implied connection between the divorce and the suicide.",0.0,english,51,train
I work for a mental health agency in the USA and the terms Pervasive Developmental Disorder and Autistic Spectrum Disorders are used interchangably. Someone else here said there are a few pervasive developmental disorders that are not part of the autistic spectrum. This seems inaccurate to me.,0.0,english,52,train
"Except that they didn't actually avoid it all that markedly. It's present even in Renaissance church music—in passing, like all dissonances (and this was a time when even major and minor thirds were considered dissonant). The term diabolus in musica doesn't appear in a religious context anywhere.",0.33333333333333304,english,53,train
"I think it should be Ulmer Münster because that appears to be the most commonly used name, even outside Germany. The wikitravel.org page uses that term. Google searches on English pages yield only 1,780 hits for Ulm Minster but 11,200 for Ulmer Munster.",0.0,english,54,train
"Well perhaps deleting the table without replacement in text is not sufficient, and yes strengths, weaknesses, starting settlements, etc, do fail the not a guide policy; the flags also should not be included in a game article.",-0.6666666666666667,english,55,train
"Lestrade Mann's repressed sexuality is a fact, especially if your read his diaries (a small part of it can be found in french here:  and I'm sorry the site has a naked man). Even though his sexuality is a minor part of his oeuvre, there are many characteristics in his books that can be hardly understood if the reader doesn't know Mann was a repressed homossexual.",0.0,english,56,train
Some narrow minded person mocked and blapshmed under the topic Ayotallah in Popular Culture.Khomeni is regarded as a high ranking reliious personality in Islam and no one has the rigt to mock him like that.So i think it is fair enough that i have deleted this topic. I have removed it in the past as well. I do not think that it's being blasphemous should the issue.,-1.3333333333333335,english,57,train
"Just for the sake of a sample, here is the country-by-country table from the PEGI Article: Country Status Local system De facto use of the PEGI labels, no specific legislative basis or official support. PEGI is legally adopted and enforceable in the regions of Vienna and Kärnten.",0.0,english,58,train
"People love to rush ahead of themselves on Wikipedia and update things as soon as possible. However, Montreal says they have the intention of retaining the Impact. That doesn't mean that they will.",-0.33333333333333326,english,59,train
"I added a sentence about an event in 1825. I think it is important to understand when in history Chile saltpeter was important. The sentence about 1825 has a source, but there are several problems with this source.",0.0,english,60,train
"Common knowledge or painfully obvious? This is Wikipedia, almost everything has to be cited. There are some very few exceptions for things like, Milk is normally white, but beyond that kind of thing, no, it must be sourced.",-1.6666666666666667,english,61,train
"Blueboar, can you point me to a documented case like you describe? I would be genuinely fascinated to learn more.",1.333333333333333,english,62,train
"This article does not mention and completely ignores a multitude of other factors that helped propel South Korea to a major economic power. For instance, the massive compensation paid by the government of Japan to South Korea after the signing of the Treaty on Basic Relations between Japan and the ROK.",-1.0,english,63,train
"There's already brief mention of northeastern flooding in the first paragraph of the Flooding section. IMO it should be integrated into that section. There is no need to use the main article template here, since the Isan article doesn't primarily concern the flooding.",0.0,english,64,train
"Euxenite-(Y) and gadolinite-(anything) are NOT ore or concentrated sources of scandium. This is an evident error, apparently due to considering Sc as ne of the rare earths. But this DOES NOT mean, that the above minerals contain ANY IMPONTANT CONTENT of scandium just because they contain Sc.",-1.3333333333333335,english,65,train
"The inflation pressure can be varied by sliding the moveable weight on top of the bellows, it can be seen in the photograph. And where is the photograph? Seems to me like some badly copy & paste.",-1.6666666666666667,english,66,train
"I have tagged as dubious a statement in the Background section that sometime??? after 1730, the US Congress adopted the British Parliamentary Standard of 1758. The article Weights and Measures Acts (UK) lists all such statute measures and there was no such Act of 1758.",0.0,english,67,train
"Merriam-Webster defines a Christian as one who professes belief in the teachings of Christ or better yet, a disciple of those teachings - not one who fits the image or practices people think all Christians should be defined by. JWs, Latter-Day Saints, non-denominational Christians and others would fit into that definition.",0.6666666666666665,english,68,train
"My view on the meta-question is that the same name for the competition should be used in all article titles, for consistency, and that that name should be the consise, universally applicable, and generally most common: Cricket World Cup, without ICC.",1.333333333333333,english,69,train
"Where is the evidence for this designation at the time of the battle? The main action of the battle took place in what is now considered Mount Airy, but I have never heard it referred to as the Battle of Mount Airy. If you look on the Mount Airy site, there are two footnoted references to the origination of the place name.",0.0,english,70,train
"The whole thing is a faboulouse piece of patchwork showing its evolutionary origins, but not really the evolutionary origin of the the Bundesliga. Where to begin the repair? Scrap it and start anew.",-1.6666666666666667,english,71,train
"Currently, the copyright paragraph contains the sentence: As of 28 February 2018, Project Gutenberg is no longer accessible within Germany to comply with a court order from S. Fischer Verlag regarding the works of Heinrich Mann, Thomas Mann and Alfred Döblin.",1.0,english,72,train
"next, as far as I can tell this has never been confirmed either, the source for this information is a forum post where no one official from any of the parties mentioned confirms it as fact: In September 2009 Zynga was threatened with legal action by Nissan for alleged use of their trademarks in the game Street Racing.",0.6666666666666665,english,73,train
Surely that makes his ethnicity Albanian not his nationality. If he was born in Yugoslavia that makes him Yugoslavian by birth. Think you can't just disregard the fact that when he was born he was in Yugoslavia!,-1.0,english,74,train
"Concurring with the previous comment, I corrected the entry to reflect the fact that only one major surface action had occurred at Guadalcanal prior to the Battle of Cape Esperence. I also deleted the false assertion that the USN had been defeated in every prior night action against the USN.",0.0,english,75,train
"While I do appreciate how organized the page is and that you had a section dedicated to Indexicality, I think that linking to the Indexicality page is not clear enough. Perhaps you could elaborate a bit on what Indexicality is and what it means for sociolinguistics, similarly to what we did in class with t versus aspirated t.",0.6666666666666665,english,76,train
"I second Gheuf's concern. As it stands, the page title is inaccurate. The page Second Empire should become the disambiguation page for all articles related to the Second Empire, the Second Empire article should be moved to Second Empire (style) and this article should be moved to French Second Empire or Second Empire (France).",0.33333333333333304,english,77,train
"Provided an inline citation #21 for WMO classification of clouds. Triple checked formatting but Cloud article server treats it as a dead link, even though the server for the List of cloud types articles finds the link very much alive. I'll leave this one for the Great Weather Doctor to fix.",0.0,english,78,train
"Popes have always been regarded as elective monarchs. And no, the pope is not head of state of the Vatican because he is the leader of the Catholic Church. Vatican City is legally a state.",-0.6666666666666667,english,79,train
I have been an organic chemist for over thirty years and have never seen a definition of organic compound as limiting as that used in this article. I could sit here all night and list compounds which almost any organic chemist would consider to be organic yet which contain no hydrogen.,-1.0,english,80,train
"This was referring to an older version of the article, but I did just re-add market share information. I'm evaluating different database options, and was looking for this information to get a sense of which software is popular, has community support and knowledge base, etc.",1.0,english,81,train
"Ove Høegh-Guldberg Biography Also Biased I believe the same author wrote the biography on Ove Høegh-Guldberg, so the same neutrality red flag needs to be added to that biography as well. Could somebody check that one out as well, as I'm not sure how to do that? Rewriting Urgently Needed I agree with the previous comments on the obvious lack of neutrality here.",-0.6666666666666667,english,82,train
"I guess there are two things to think about here. On one hand CommSec is wholly owned by CBA, but on the other hand is in a very distinct and different industry (as opposed to say CBA Private Banking, which is a clear extension of banking).",0.0,english,83,train
"Daimler-Benz should be merged into this article a history section. It is widely known that the merger was actually a buyout of Chrysler, and having Daimler-Benz separate doesn't make sense.",-0.6666666666666667,english,84,train
"As a native Albanian speaker, and as evidenced by Google Translate, the exact translation of the word Stema is indeed Emblem. The word is derived from Italian, true. But in Albanian, that is the translation.",0.33333333333333304,english,85,train
I don't think there should even be an article on this. Just leaving a simple definition would be better than this mess. More specific topics with enough content should have their own pages.,-1.3333333333333335,english,86,train
"Nice article on a wiki used in class at CMU. But the headline must mean open to all students, and not the public.  As a current student of von Ahn's, I can verify that the wiki is only available to students in the class.",0.33333333333333304,english,87,train
Not surprised to see so much discussion at this page. I did not read it all so please excuse me if someone else asked the same thing. As far as I know the English language is closest to the Frisian and form together one group by linguestic historians.,0.33333333333333304,english,88,train
"For the sake of the article microwaves are not the only source of light that is line of sight, but it was worth placing that tidbit in this article. Oranges are not the only fruit with vitamin C, but the article on oranges has mention of Vitamin C. This seems like a terrible argument.",-1.0,english,89,train
"We now have a new round of edits by an editor insisting on the precise (but I'd argue still erroneous) etymology of high tea, but then inserting the word erroneous into the discussion of the use of high v. afternoon tea in the US. We haven't been a British colony in nigh on 230 years now, and we speak a different language than the British do.",0.0,english,90,train
"Bryan, you are right, I now think it was a mistake to do this. The google search is unequivocal, the article is already about what everybody refers to as Low-pressure area. Thank you for bringing it up.",1.333333333333333,english,91,train
"These five sentences are all on separate lines. Plastics are usually classified by the chemical structure of the polymer's backbone and side chains. Important groups classified in this way include the acrylics, polyesters, silicones, polyurethanes, and halogenated plastics.",-0.6666666666666667,english,92,train
"I'm not sure it's a good idea to use material from this source, even with permission. All text content on Wikipedia (with rare exceptions, most notably brief, explicit quotations on which we claim fair use) is supposed to be licensed under the GNU Free Documentation License. This permission doesn't seem compatible with that license.",1.0,english,93,train
Can we add information about the training and sale of working dogs. I'm not able to find much except that private breeders and private trainers do the work then sell the dog.,0.6666666666666665,english,94,train
"According to the article the coroner's report was simply mistaken. It is incredible that a man could become a coroner and function in that position for some years and not detect that it is in fact Weil's poor health condition that eventually made her unable to eat. If this is true, then the unintelligent coroner understood cause and effect in reverse order.",-0.33333333333333326,english,95,train
"Can a native German speaker comment on whether 'Münster'/'Dom' designations take on the feel as if it is part of the proper name of the building? I get the impression that it does, and it would seem kind of strange to me if, for comparison in de.wikipedia, we localized e.g. Madison Square Garden to 'Madison Square Sporthalle'.",0.6666666666666665,english,96,train
"Re Erika, she is a novelist; I am not seeing any indication that she meets WP: SPS ... subject-matter expert, whose work in the relevant field has previously been published by reliable, independent publications.",0.0,english,97,train
"I think 2 images in an intro is a good number actually, as the first can be very visual for search thumbnails and the like, and the second can be more of an informative overview. I see your point about greenhouse gas / effect being the same lead image. I think the images for this page are good, but ideally we'd change out the lead greenhouse effect image.",1.333333333333333,english,98,train
By the way Thomas.W has made some inaccurate and rather unconstructive comments on my talk page about my contribution(s) to the HSBC article on this topic. For the record this edit is the only edit I have made to this article on this topic. I have responded on his talk page.,-0.33333333333333326,english,99,train
"Yes, they are attributed. The attribution stands out even more than the quote itself. Rather than targeting specific articles and performing mass taggings without discussion with those who came up with the idea is a bad idea.",-0.33333333333333326,english,100,train
"Ok, so every time I read this I have an issue with the main team list. Red Arrow never officially joins the team-he more acts as a liaison member, utilizing the team as his POC since he believes the League to be infiltrated.",-0.33333333333333326,english,101,train
That seems like a rather unusual way of dividing up a standard language. More details (and references) would be nice. But I'm quite skeptical to the idea that there would be a spoken written standard.,-0.33333333333333326,english,102,train
"thumb|left|This photo is captioned A Boxer is publicly executed in the article. However, checking the cited source, the catalog item Lettering says Execution of Chinese pirates Is a boxer misidentified as a pirate? The photo looked suspicious because the executioner wore Chinese soldier's clothes, while the foreigners wore white civilian clothes and not in military uniform.",1.0,english,103,train
"Hello everyone , I have just made some minor change in the article, I have stated more clear that the Chinese writing of Hu Shih's name in both simplified Chinese and tradition Chinese writing. Also, I have said that Hu Shih was also a famous thinker in old China.",2.0,english,104,train
"lol, un fait négatif de moins : -) Peut-être mais il semble qu'il cherche à exagérer sa carrière militaire. Il est arrivé en Indochine après Dien-Bien-Phu.",0.0,english,105,train
"Very nice edits, Fred! The bit on Jesper is lovely now. I only have a problem with the anatomical system where mental attributes correspond to body parts, such as worrying to the stomach, I don't understand it and the syntax kind of collapses.",1.0,english,106,train
"The main blurb states that Ironically, Alpha Complex is, itself, a communist state, inhabited solely by mutant secret society members. Back in the old days I played some highly enjoyable sessions of Paranoia, enough to remember that much of the fun is derived from the fact that everything is self-contradictory, and that the Computer often fights against itself.",0.0,english,107,train
"I am trying to improve wikipedia, that is all I am interested in. I would be very surprised if any 'traditional' encyclopaedia has a section on 'Ronspeak' in it which is why in my opinion it is not worthy of inclusion in wikipedia.",-0.6666666666666667,english,108,train
"Any enthusiasm for removing the back burning section entirely from this page, possibly creating a new page for it? Other than the fact that they both involve putting fire on the ground, backfiring/burning out and prescribed fires have little in common. One is a pure suppression tactic, and resource benefits are an afterthought.",0.33333333333333304,english,109,train
"Alibaba Group, China's biggest e-commerce firm, is no longer engaged in the business of allowing sellers of shark fins to list their products on its platforms. Alibaba Group banned the sale of shark fin on its platforms as of January 1, 2009. Environmentalists, ocean lovers and a growing world-wide scuba diving community who were aware of the decision applauded Alibaba for the ban.",0.0,english,110,train
"The article used to list a location at 5234 Summit Bridge Rd., Middletown, Delaware among those that were still called Mister Donut. I visited this location yesterday and found that it was called Dunkin' Donuts (I'm pretty certain that I was at the correct address, and there aren't just two donut stores in the area). So I removed this address from the article.",0.33333333333333304,english,111,train
You need to demonstrate that the majority of reliable sources consider Turkey to be a belligerent. You cannot start another RFC every time you find 1 or 2 sources which you believe confirm the claim. I do not see that there is a consensus among reliable sources to consider Turkey a belligerent.,-1.0,english,112,train
I feel that this is a bit of a waste of time. We've had this same discussion three months ago (October 2020). Nothing has changed since then.,-2.0,english,113,train
"Oppose - According to the China article Manual of Style, English Wikipedia uses Hanyu Pinyin without tone marks as the default Romanisation method for Chinese characters, except where an alternate form of a word is used by modern reliable secondary sources. In other words, we always use Pinyin unless most recent secondary sources favor a different romanization system.",0.33333333333333304,english,114,train
"For the sake of history, I'd like to add a mention of the first known warblog that I have found, which I made public on the Internet at the same time as the 6 June 1996 website launch of www.birzeit.edu [1]. It had been written and coded since November 1995, but was not available online internationally until 6 June 1996.",0.6666666666666665,english,115,train
"Why is he presumed Jewish? His middle name is Francis, which indicates his mother may not be Jewish, and thus he is not considered Jewish under Jewish law (halakah).",-0.33333333333333326,english,116,train
"Of course they're not, but every single individual named in this article is a composer. Since the vast majority of musicians don't compose, surely we could find at least a few to name.",-1.0,english,117,train
Actually I remember that. He did indeed sign a letter supporting the rights of scientologists in Germany. If I recall correctly it was circulated by his friend Costa Gavras.,1.333333333333333,english,118,train
"We are entering a new age (cliche), but it is true. Thus really good terminology has not yet been agreed upon. However, some disiderata can be identified that might clear up usages of synthetic biology from synthetic life, biotechnology, nanotechnology, etc.",0.33333333333333304,english,119,train
I love Sound Voltex but this article is WAAAY too long. The average person really does not need all this detail. I am not by any means an experienced editor so I'm not sure what parts of this should be split into another article and which should just be cut.,1.333333333333333,english,120,train
"Without Mitsuru knowing, Wataru follows him through a portal in a reputedly haunted house to a fantasy world called Vision. Is the haunted house part really necessary? There, Mitsuru's status as a traveller is revealed.",-0.33333333333333326,english,121,train
"[Please note that this is the same message I left to an almost identical Talk page message in the Amber Heard article]This is your interpretation of it, adding it to WP would be adding your POV (btw, the quotes you have written here come from two different tapes). The High Court of England and Wales found that there's overwhelming evidence that Depp abused Heard.",0.0,english,122,train
The phylogeny is a mess. It does not match the doi: 10.1186/1944-3277-9-2 ref the section keeps using.,-0.6666666666666667,english,123,train
"I find this term confusing, especially the statement that a higher economic limit means a lower lifetime. What is the unit of measurement?",0.6666666666666665,english,124,train
"If you find out more about the ETR 401, great; but in the spirit of being bold, I have acted now and tried to put the article into some sensible shape, using Roger Irwin's information (as given above) and Brian Hollingsworth's The Illustrated Directory of Trains of the World.",-0.6666666666666667,english,125,train
In the introduction it states: If dropped in a vacuum it will read zero.. I think the fact that the accelerometer resides in a vacuum does not necessarily imply that there is no gravitational force taking effect.,0.0,english,126,train
"Since I created the article, I'll bring up the information I found when creating it. Here is the forum at AnimeSuki where it states three times that the magazine is seinen and once that this series is seinen, and even gives a secondary source to proove it. The magazine is referred to as seinen twice more in the following post.",-0.33333333333333326,english,127,train
"How can Their version of the song, which was inspired by the fact that it had featured on Gavin & Stacey be correct? If their version of the song had already featured on Gavin and Stacey, how could it have been inspired by that appearance?",-0.33333333333333326,english,128,train
"I have re-written the disputed sentence narrowly here. In my view, this version more closely mirrors the cited text. In addition, I created Bernhard Scheid to help clarify credibility of the academic website source.",1.0,english,129,train
"Could someone please find a new picture of Alex? Maybe the current one could be placed further down in the article, while the newer one could have a head-on shot to make it look more like a profile.",0.6666666666666665,english,130,train
"Possible, but unlikely. There are various pieces of evidence that suggest that she posts the blog herself (posting times, later revisions). And if that is true, that's just another good reason not to link to the MySpace page from Wikipedia.",0.0,english,131,train
"article This article is dripping with POV. This is not a one or two word job but one dripping with POV in every sentence. If anyone likes the previous one, a lot of work will have to be done on this.",-1.0,english,132,train
"Add any additional comments To summarize: Ecotax seems to be the preferred form in Europe, and is endorsed by the European Environmental Agency. Green tax shift is endorsed by the Green Parties of Canada and Ontario, although we're still looking for non-partisas sponsors.",1.0,english,133,train
The article stated that a typical plant cell may have between 103 and 105 plasmodesmata connecting it with adjacent cells[9] equating to between 1 and 10 per mm2. I changed that to ...1 and 10 per µm2 since plant cells are not large enough to have even one of these junctions if we are talking about square millimeters.,0.6666666666666665,english,134,train
Isn't Zuvic/Zuvić ger real last name? I guess it's Serbian or Croatian. Anyone has some information?,-0.6666666666666667,english,135,train
"As part of that course, I wrote ~300 word evaluations of various bird articles on wiki. My evaluation of this one is reproduced below, which is just my thoughts about possible improvements and things the article does well. This article on the Great Cormorant is decent, but nothing special.",-0.33333333333333326,english,136,train
"Due to the fact that is is very unlikely that Still Alive... And Well? is A) unsourced; and B unlikely to ever be anything more than a stub, should we possibly look at merging it into one of the other articles? perhaps The World Needs a Hero or Rude Awakening (Megadeth album) (or even the main discography page, as per Maximum Megadeth)?",0.6666666666666665,english,137,train
For some time I have been working on revisions to the Bricker Amendment article. I finally posted it and have a PR at Wikipedia: Peer review/Bricker Amendment/archive1.,1.0,english,138,train
"I am looking at this and I have made a mistake. I didn't read one of the sources correctly. I didn't realise this was about his university days, I thought he got scurvy in August 2020.",1.333333333333333,english,139,train
"Thank you so much for your valuable suggestion, SilkTork. One thing I am concerning is that there are users who continuously call in questions and insufficiency on references, so it is prety hard to choose only one reference. In fact, most references here act synergistically to underpin the contents for which the refernces support.",2.0,english,140,train
